Date,Open,High,Low,Close,Adj Close,Volume
2017-05-09,8.170000,8.170000,8.170000,8.170000,6.878569,0
2017-05-10,8.210000,8.210000,8.210000,8.210000,6.912246,0
2017-05-11,8.240000,8.240000,8.240000,8.240000,6.937506,0
2017-05-12,8.270000,8.270000,8.270000,8.270000,6.962764,0
2017-05-15,8.310000,8.310000,8.310000,8.310000,6.996442,0
2017-05-16,8.320000,8.320000,8.320000,8.320000,7.004860,0
2017-05-17,8.300000,8.300000,8.300000,8.300000,6.988021,0
2017-05-18,8.150000,8.150000,8.150000,8.150000,6.861731,0
2017-05-19,8.220000,8.220000,8.220000,8.220000,6.920667,0
2017-05-22,8.220000,8.220000,8.220000,8.220000,6.920667,0
2017-05-23,8.230000,8.230000,8.230000,8.230000,6.929085,0
2017-05-24,8.230000,8.230000,8.230000,8.230000,6.929085,0
2017-05-25,8.270000,8.270000,8.270000,8.270000,6.995915,0
2017-05-26,8.280000,8.280000,8.280000,8.280000,7.004375,0
2017-05-30,8.270000,8.270000,8.270000,8.270000,6.995915,0
2017-05-31,8.280000,8.280000,8.280000,8.280000,7.004375,0
2017-06-01,8.290000,8.290000,8.290000,8.290000,7.012834,0
2017-06-02,8.310000,8.310000,8.310000,8.310000,7.029754,0
2017-06-05,8.320000,8.320000,8.320000,8.320000,7.038213,0
2017-06-06,8.330000,8.330000,8.330000,8.330000,7.046670,0
2017-06-07,8.300000,8.300000,8.300000,8.300000,7.021295,0
2017-06-08,8.300000,8.300000,8.300000,8.300000,7.021295,0
2017-06-09,8.300000,8.300000,8.300000,8.300000,7.021295,0
2017-06-12,8.290000,8.290000,8.290000,8.290000,7.012834,0
2017-06-13,8.290000,8.290000,8.290000,8.290000,7.012834,0
2017-06-14,8.320000,8.320000,8.320000,8.320000,7.038213,0
2017-06-15,8.270000,8.270000,8.270000,8.270000,6.995915,0
2017-06-16,8.280000,8.280000,8.280000,8.280000,7.004375,0
2017-06-19,8.260000,8.260000,8.260000,8.260000,6.987455,0
2017-06-20,8.200000,8.200000,8.200000,8.200000,6.936700,0
2017-06-21,8.180000,8.180000,8.180000,8.180000,6.919781,0
2017-06-22,8.200000,8.200000,8.200000,8.200000,6.969930,0
2017-06-23,8.220000,8.220000,8.220000,8.220000,6.986930,0
2017-06-26,8.250000,8.250000,8.250000,8.250000,7.012431,0
2017-06-27,8.250000,8.250000,8.250000,8.250000,7.012431,0
2017-06-28,8.250000,8.250000,8.250000,8.250000,7.012431,0
2017-06-29,8.230000,8.230000,8.230000,8.230000,6.995430,0
2017-06-30,8.230000,8.230000,8.230000,8.230000,6.995430,0
2017-07-03,8.210000,8.210000,8.210000,8.210000,6.978428,0
2017-07-05,8.170000,8.170000,8.170000,8.170000,6.944430,0
2017-07-06,8.140000,8.140000,8.140000,8.140000,6.918931,0
2017-07-07,8.140000,8.140000,8.140000,8.140000,6.918931,0
2017-07-10,8.170000,8.170000,8.170000,8.170000,6.944430,0
2017-07-11,8.170000,8.170000,8.170000,8.170000,6.944430,0
2017-07-12,8.230000,8.230000,8.230000,8.230000,6.995430,0
2017-07-13,8.250000,8.250000,8.250000,8.250000,7.012431,0
2017-07-14,8.290000,8.290000,8.290000,8.290000,7.046428,0
2017-07-17,8.300000,8.300000,8.300000,8.300000,7.054930,0
2017-07-18,8.330000,8.330000,8.330000,8.330000,7.080429,0
2017-07-19,8.330000,8.330000,8.330000,8.330000,7.080429,0
2017-07-20,8.330000,8.330000,8.330000,8.330000,7.080429,0
2017-07-21,8.330000,8.330000,8.330000,8.330000,7.080429,0
2017-07-24,8.290000,8.290000,8.290000,8.290000,7.046428,0
2017-07-25,8.290000,8.290000,8.290000,8.290000,7.046428,0
2017-07-26,8.330000,8.330000,8.330000,8.330000,7.080429,0
2017-07-27,8.310000,8.310000,8.310000,8.310000,7.105226,0
2017-07-28,8.310000,8.310000,8.310000,8.310000,7.105226,0
2017-07-31,8.310000,8.310000,8.310000,8.310000,7.105226,0
2017-08-01,8.290000,8.290000,8.290000,8.290000,7.088123,0
2017-08-02,8.320000,8.320000,8.320000,8.320000,7.113776,0
2017-08-03,8.370000,8.370000,8.370000,8.370000,7.156525,0
2017-08-04,8.350000,8.350000,8.350000,8.350000,7.139426,0
2017-08-07,8.360000,8.360000,8.360000,8.360000,7.147976,0
2017-08-08,8.360000,8.360000,8.360000,8.360000,7.147976,0
2017-08-09,8.320000,8.320000,8.320000,8.320000,7.113776,0
2017-08-10,8.300000,8.300000,8.300000,8.300000,7.096675,0
2017-08-11,8.310000,8.310000,8.310000,8.310000,7.105226,0
2017-08-14,8.330000,8.330000,8.330000,8.330000,7.122325,0
2017-08-15,8.320000,8.320000,8.320000,8.320000,7.113776,0
2017-08-16,8.340000,8.340000,8.340000,8.340000,7.130874,0
2017-08-17,8.320000,8.320000,8.320000,8.320000,7.113776,0
2017-08-18,8.350000,8.350000,8.350000,8.350000,7.139426,0
2017-08-21,8.360000,8.360000,8.360000,8.360000,7.147976,0
2017-08-22,8.350000,8.350000,8.350000,8.350000,7.139426,0
2017-08-23,8.360000,8.360000,8.360000,8.360000,7.147976,0
2017-08-24,8.390000,8.390000,8.390000,8.390000,7.208983,0
2017-08-25,8.430000,8.430000,8.430000,8.430000,7.243352,0
2017-08-28,8.410000,8.410000,8.410000,8.410000,7.226167,0
2017-08-29,8.410000,8.410000,8.410000,8.410000,7.226167,0
2017-08-30,8.410000,8.410000,8.410000,8.410000,7.226167,0
2017-08-31,8.440000,8.440000,8.440000,8.440000,7.251944,0
2017-09-01,8.460000,8.460000,8.460000,8.460000,7.269127,0
2017-09-05,8.480000,8.480000,8.480000,8.480000,7.286311,0
2017-09-06,8.510000,8.510000,8.510000,8.510000,7.312089,0
2017-09-07,8.550000,8.550000,8.550000,8.550000,7.346461,0
2017-09-08,8.550000,8.550000,8.550000,8.550000,7.346461,0
2017-09-11,8.540000,8.540000,8.540000,8.540000,7.337866,0
2017-09-12,8.510000,8.510000,8.510000,8.510000,7.312089,0
2017-09-13,8.500000,8.500000,8.500000,8.500000,7.303497,0
2017-09-14,8.510000,8.510000,8.510000,8.510000,7.312089,0
2017-09-15,8.520000,8.520000,8.520000,8.520000,7.320683,0
2017-09-18,8.500000,8.500000,8.500000,8.500000,7.303497,0
2017-09-19,8.490000,8.490000,8.490000,8.490000,7.294904,0
2017-09-20,8.480000,8.480000,8.480000,8.480000,7.286311,0
2017-09-21,8.470000,8.470000,8.470000,8.470000,7.277722,0
2017-09-22,8.500000,8.500000,8.500000,8.500000,7.303497,0
2017-09-25,8.460000,8.460000,8.460000,8.460000,7.269127,0
2017-09-26,8.440000,8.440000,8.440000,8.440000,7.251944,0
2017-09-27,8.380000,8.380000,8.380000,8.380000,7.200389,0
2017-09-28,8.400000,8.400000,8.400000,8.400000,7.258283,0
2017-09-29,8.420000,8.420000,8.420000,8.420000,7.275565,0
2017-10-02,8.410000,8.410000,8.410000,8.410000,7.266923,0
2017-10-03,8.420000,8.420000,8.420000,8.420000,7.275565,0
2017-10-04,8.440000,8.440000,8.440000,8.440000,7.292847,0
2017-10-05,8.420000,8.420000,8.420000,8.420000,7.275565,0
2017-10-06,8.400000,8.400000,8.400000,8.400000,7.258283,0
2017-10-09,8.380000,8.380000,8.380000,8.380000,7.241001,0
2017-10-10,8.410000,8.410000,8.410000,8.410000,7.266923,0
2017-10-11,8.430000,8.430000,8.430000,8.430000,7.284208,0
2017-10-12,8.440000,8.440000,8.440000,8.440000,7.292847,0
2017-10-13,8.450000,8.450000,8.450000,8.450000,7.301485,0
2017-10-16,8.430000,8.430000,8.430000,8.430000,7.284208,0
2017-10-17,8.440000,8.440000,8.440000,8.440000,7.292847,0
2017-10-18,8.440000,8.440000,8.440000,8.440000,7.292847,0
2017-10-19,8.450000,8.450000,8.450000,8.450000,7.301485,0
2017-10-20,8.400000,8.400000,8.400000,8.400000,7.258283,0
2017-10-23,8.370000,8.370000,8.370000,8.370000,7.232360,0
2017-10-24,8.380000,8.380000,8.380000,8.380000,7.241001,0
2017-10-25,8.380000,8.380000,8.380000,8.380000,7.241001,0
2017-10-26,8.280000,8.280000,8.280000,8.280000,7.188908,0
2017-10-27,8.340000,8.340000,8.340000,8.340000,7.241001,0
2017-10-30,8.340000,8.340000,8.340000,8.340000,7.241001,0
2017-10-31,8.340000,8.340000,8.340000,8.340000,7.241001,0
2017-11-01,8.360000,8.360000,8.360000,8.360000,7.258364,0
2017-11-02,8.390000,8.390000,8.390000,8.390000,7.284414,0
2017-11-03,8.240000,8.240000,8.240000,8.240000,7.154178,0
2017-11-06,8.250000,8.250000,8.250000,8.250000,7.162861,0
2017-11-07,8.190000,8.190000,8.190000,8.190000,7.110766,0
2017-11-08,8.190000,8.190000,8.190000,8.190000,7.110766,0
2017-11-09,8.180000,8.180000,8.180000,8.180000,7.102085,0
2017-11-10,8.200000,8.200000,8.200000,8.200000,7.119449,0
2017-11-13,8.210000,8.210000,8.210000,8.210000,7.128131,0
2017-11-14,8.190000,8.190000,8.190000,8.190000,7.110766,0
2017-11-15,8.190000,8.190000,8.190000,8.190000,7.110766,0
2017-11-16,8.240000,8.240000,8.240000,8.240000,7.154178,0
2017-11-17,8.260000,8.260000,8.260000,8.260000,7.171543,0
2017-11-20,8.250000,8.250000,8.250000,8.250000,7.162861,0
2017-11-21,8.260000,8.260000,8.260000,8.260000,7.171543,0
2017-11-22,8.290000,8.290000,8.290000,8.290000,7.197591,0
2017-11-24,8.310000,8.310000,8.310000,8.310000,7.214954,0
2017-11-27,8.320000,8.320000,8.320000,8.320000,7.261209,0
2017-11-28,8.330000,8.330000,8.330000,8.330000,7.269938,0
2017-11-29,8.310000,8.310000,8.310000,8.310000,7.252482,0
2017-11-30,8.290000,8.290000,8.290000,8.290000,7.235028,0
2017-12-01,8.290000,8.290000,8.290000,8.290000,7.235028,0
2017-12-04,8.300000,8.300000,8.300000,8.300000,7.243756,0
2017-12-05,8.310000,8.310000,8.310000,8.310000,7.252482,0
2017-12-06,8.310000,8.310000,8.310000,8.310000,7.252482,0
2017-12-07,8.290000,8.290000,8.290000,8.290000,7.235028,0
2017-12-08,8.300000,8.300000,8.300000,8.300000,7.243756,0
2017-12-11,8.300000,8.300000,8.300000,8.300000,7.243756,0
2017-12-12,8.290000,8.290000,8.290000,8.290000,7.235028,0
2017-12-13,8.310000,8.310000,8.310000,8.310000,7.252482,0
2017-12-14,8.310000,8.310000,8.310000,8.310000,7.252482,0
2017-12-15,8.330000,8.330000,8.330000,8.330000,7.269938,0
2017-12-18,8.360000,8.360000,8.360000,8.360000,7.296119,0
2017-12-19,8.360000,8.360000,8.360000,8.360000,7.296119,0
2017-12-20,8.350000,8.350000,8.350000,8.350000,7.287393,0
2017-12-21,8.230000,8.230000,8.230000,8.230000,7.309595,0
2017-12-22,8.230000,8.230000,8.230000,8.230000,7.309595,0
2017-12-26,8.230000,8.230000,8.230000,8.230000,7.309595,0
2017-12-27,8.240000,8.240000,8.240000,8.240000,7.318477,0
2017-12-28,8.250000,8.250000,8.250000,8.250000,7.327360,0
2017-12-29,8.250000,8.250000,8.250000,8.250000,7.327360,0
2018-01-02,8.300000,8.300000,8.300000,8.300000,7.371770,0
2018-01-03,8.320000,8.320000,8.320000,8.320000,7.389531,0
